1 :D;
n ; porownania(c); przestawienia(s); c/n; s/n; czas;
8000;12.74;0.0;0.0015925;0.0;1589354;
9000;12.8;0.0;0.0014222222222222223;0.0;1662157;
10000;12.94;0.0;0.001294;0.0;1844775;
100 :D;
n ; porownania(c); przestawienia(s); c/n; s/n; czas;
1000;13.82;0.0;0.01382;0.0;175580;
2000;14.5;0.0;0.00725;0.0;478533;
3000;16.78;0.0;0.005593333333333334;0.0;535343;
4000;15.3;0.0;0.0038250000000000003;0.0;716701;
5000;16.8;0.0;0.00336;0.0;915893;
6000;17.12;0.0;0.0028533333333333336;0.0;1098954;
7000;15.78;0.0;0.0022542857142857143;0.0;1400564;
8000;15.96;0.0;0.0019950000000000002;0.0;1474232;
9000;17.82;0.0;0.00198;0.0;1663656;
10000;18.16;0.0;0.001816;0.0;2087707;
1000 :D;
n ; porownania(c); przestawienia(s); c/n; s/n; czas;
1000;19.36;0.0;0.01936;0.0;188333;
2000;23.84;0.0;0.01192;0.0;382951;
3000;27.58;0.0;0.009193333333333333;0.0;561582;
4000;24.16;0.0;0.00604;0.0;720655;
5000;26.34;0.0;0.005268;0.0;910606;
6000;26.04;0.0;0.00434;0.0;1092659;
7000;27.16;0.0;0.00388;0.0;1384755;
8000;26.32;0.0;0.00329;0.0;1477750;
9000;25.46;0.0;0.002828888888888889;0.0;1649247;
10000;26.22;0.0;0.0026219999999999998;0.0;1959971;
