
n ; porownania(c); przestawienia(s); c/n; s/n;
7000;156858.86;57537.29;22.40840857142857;8.219612857142858;
8000;181560.03;66375.0;22.69500375;8.296875;
9000;208427.33;76705.79;23.15859222222222;8.522865555555555;
10000;235797.27;86352.86;23.579727;8.635286;
11000;262351.69;96187.52;23.850153636363636;8.74432;
12000;287888.21;104944.45;23.990684166666668;8.745370833333332;
13000;315040.83;114493.79;24.23391;8.807214615384614;
14000;343219.9;124958.15;24.515707142857146;8.925582142857142;
15000;370530.43;135529.34;24.702028666666667;9.035289333333333;
16000;398822.64;145193.15;24.926415000000002;9.074571875;
17000;429392.34;156017.76;25.25837294117647;9.177515294117647;
18000;456433.12;166274.37;25.357395555555556;9.237465;
19000;484738.49;176114.55;25.512552105263158;9.269186842105263;
20000;512494.97;185817.41;25.6247485;9.2908705;
