
n ; porownania(c); przestawienia(s); c/n; s/n;
600;980.71;1037.65;1.6345166666666666;1.7294166666666668;
700;1222.76;1306.62;1.7468;1.8665999999999998;
800;1370.28;1463.1;1.71285;1.8288749999999998;
900;1558.36;1652.17;1.731511111111111;1.8357444444444446;
1000;1696.07;1796.11;1.69607;1.7961099999999999;
1100;1806.84;1903.07;1.6425818181818181;1.7300636363636364;
1200;1979.66;2083.29;1.6497166666666667;1.736075;
1300;2172.35;2287.75;1.6710384615384615;1.7598076923076924;
1400;2384.2;2515.0;1.7029999999999998;1.7964285714285715;
1500;2665.37;2815.1;1.7769133333333333;1.8767333333333334;
1600;2637.04;2765.1;1.64815;1.7281875;
1700;2795.68;2917.17;1.6445176470588234;1.7159823529411764;
1800;3126.96;3279.66;1.7372;1.8220333333333332;
1900;3320.62;3478.7;1.7476947368421052;1.8308947368421051;
2000;3331.76;3479.95;1.66588;1.7399749999999998;
2100;3400.49;3537.28;1.6192809523809524;1.6844190476190477;
2200;3592.17;3736.43;1.6328045454545455;1.6983772727272726;
2300;3952.89;4135.6;1.7186478260869564;1.7980869565217392;
2400;3972.76;4136.33;1.6553166666666668;1.7234708333333333;
2500;4182.92;4351.8;1.673168;1.74072;
2600;4276.21;4450.37;1.6446961538461538;1.7116807692307692;
2700;4490.36;4664.98;1.663096296296296;1.7277703703703702;
2800;4704.06;4906.24;1.6800214285714288;1.7522285714285712;
2900;4853.18;5054.13;1.6735103448275863;1.742803448275862;
3000;5194.71;5419.2;1.73157;1.8064;
3100;5079.37;5265.0;1.638506451612903;1.6983870967741936;
3200;5397.29;5622.75;1.686653125;1.757109375;
3300;5468.6;5685.22;1.6571515151515153;1.7227939393939395;
3400;5685.04;5901.3;1.6720705882352942;1.7356764705882353;
3500;5903.09;6133.36;1.686597142857143;1.7523885714285714;
3600;5914.84;6124.12;1.6430111111111112;1.7011444444444443;
3700;6002.47;6185.45;1.6222891891891893;1.6717432432432433;
3800;6421.39;6647.54;1.6898394736842106;1.7493526315789474;
3900;6786.06;7044.25;1.7400153846153847;1.8062179487179486;
4000;6803.72;7072.15;1.70093;1.7680375;
4100;6736.61;6963.26;1.6430756097560975;1.6983560975609757;
4200;7110.47;7367.66;1.6929690476190478;1.7542047619047618;
4300;7269.48;7528.25;1.6905767441860464;1.7507558139534884;
4400;7366.98;7620.18;1.6743136363636362;1.731859090909091;
4500;7519.81;7759.5;1.671068888888889;1.7243333333333333;
4600;7532.32;7774.03;1.6374608695652173;1.6900065217391305;
4700;7746.12;8000.92;1.6481106382978723;1.7023234042553193;
4800;8033.56;8299.27;1.6736583333333335;1.7290145833333335;
4900;8132.04;8405.49;1.6596;1.7154061224489796;
5000;8388.56;8680.66;1.6777119999999999;1.736132;
5100;8343.93;8594.16;1.636064705882353;1.6851294117647058;
5200;8425.14;8660.95;1.6202192307692307;1.6655673076923079;
5300;8680.33;8936.62;1.6377981132075472;1.6861547169811322;
5400;9331.18;9661.9;1.7279962962962963;1.7892407407407407;
5500;9102.98;9395.83;1.6550872727272727;1.7083327272727273;
5600;9112.72;9375.53;1.6272714285714285;1.674201785714286;
5700;9214.0;9471.98;1.6164912280701755;1.6617508771929823;
5800;9787.04;10103.02;1.6874206896551727;1.7419;
5900;9814.36;10117.07;1.6634508474576273;1.714757627118644;
6000;10362.49;10710.19;1.7270816666666666;1.7850316666666668;
6100;9871.25;10151.6;1.6182377049180328;1.6641967213114754;
6200;10598.18;10941.16;1.709383870967742;1.7647032258064517;
6300;10426.1;10733.42;1.654936507936508;1.7037174603174603;
6400;10717.49;11061.89;1.6746078125;1.7284203125;
6500;10671.55;10972.85;1.641776923076923;1.6881307692307692;
6600;10725.98;11024.29;1.6251484848484847;1.6703469696969697;
6700;10823.56;11100.05;1.6154567164179103;1.6567238805970148;
6800;11257.42;11581.81;1.6555029411764706;1.7032073529411764;
6900;11329.83;11632.21;1.6420043478260868;1.685827536231884;
7000;11627.66;11960.28;1.6610942857142856;1.7086114285714287;
7100;12202.74;12590.18;1.7186957746478873;1.7732647887323945;
7200;12062.7;12433.73;1.675375;1.7269069444444445;
7300;12013.04;12337.71;1.6456219178082192;1.6900972602739726;
7400;12331.06;12677.48;1.6663594594594593;1.713172972972973;
7500;12665.22;13030.74;1.688696;1.7374319999999999;
7600;13074.98;13476.04;1.720392105263158;1.7731631578947369;
7700;12506.58;12815.99;1.6242311688311688;1.6644142857142856;
7800;13125.78;13525.41;1.6827923076923077;1.734026923076923;
7900;13159.6;13510.64;1.6657721518987343;1.7102075949367088;
8000;13275.29;13636.03;1.65941125;1.70450375;
8100;13167.54;13516.62;1.6256222222222223;1.6687185185185187;
8200;13336.23;13666.42;1.6263695121951218;1.6666365853658536;
8300;13543.87;13871.44;1.6317915662650604;1.6712578313253013;
8400;13741.94;14062.35;1.6359452380952382;1.6740892857142857;
8500;13761.19;14066.4;1.6189635294117648;1.654870588235294;
8600;14013.0;14369.13;1.6294186046511627;1.6708290697674417;
8700;14201.96;14540.94;1.6324091954022988;1.6713724137931034;
8800;14757.43;15157.27;1.6769806818181818;1.7224170454545455;
8900;14690.06;15068.28;1.6505685393258427;1.6930651685393259;
9000;15092.83;15528.45;1.676981111111111;1.7253833333333335;
9100;14735.85;15077.77;1.6193241758241759;1.6568978021978022;
9200;15172.96;15553.65;1.6492347826086955;1.6906141304347826;
9300;15233.38;15606.28;1.6379978494623655;1.678094623655914;
9400;15757.26;16182.04;1.676304255319149;1.7214936170212767;
9500;15870.43;16290.82;1.6705715789473685;1.7148231578947368;
9600;15670.43;16047.07;1.6323364583333333;1.6715697916666665;
9700;15779.93;16158.26;1.626796907216495;1.6658;
9800;16552.53;17012.69;1.6890336734693876;1.735988775510204;
9900;16375.61;16753.05;1.6541020202020202;1.6922272727272727;
10000;16610.17;17039.62;1.6610169999999997;1.703962;

n ; porownania(c); przestawienia(s); c/n; s/n;
100;202.76;231.68;2.0276;2.3168;
200;374.74;416.75;1.8737000000000001;2.08375;
300;591.05;650.92;1.9701666666666666;2.1697333333333333;
400;736.49;803.35;1.8412250000000001;2.008375;
500;908.0;980.82;1.816;1.96164;
600;1034.73;1112.73;1.72455;1.85455;
700;1286.08;1376.81;1.8372571428571427;1.9668714285714286;
800;1390.15;1486.95;1.7376875;1.8586875;
900;1600.26;1706.14;1.7780666666666667;1.8957111111111111;
1000;1787.78;1902.41;1.78778;1.9024100000000002;
1100;1835.32;1939.64;1.668472727272727;1.763309090909091;
1200;2026.82;2145.7;1.6890166666666666;1.7880833333333332;
1300;2224.89;2352.09;1.711453846153846;1.8093000000000001;
1400;2486.99;2634.58;1.7764214285714284;1.8818428571428572;
1500;2619.51;2770.81;1.7463400000000002;1.8472066666666667;
1600;2828.17;2986.82;1.76760625;1.8667625;
1700;2945.94;3091.88;1.7329058823529413;1.8187529411764707;
1800;3049.94;3196.05;1.694411111111111;1.7755833333333335;
1900;3242.28;3395.16;1.706463157894737;1.7869263157894737;
2000;3492.81;3678.73;1.746405;1.839365;
2100;3442.48;3589.85;1.6392761904761906;1.709452380952381;
2200;3754.21;3919.02;1.7064590909090909;1.7813727272727273;
2300;3883.16;4053.54;1.6883304347826087;1.7624086956521738;
2400;4058.77;4243.27;1.6911541666666667;1.7680291666666668;
2500;4204.67;4391.64;1.681868;1.7566560000000002;
2600;4536.64;4751.07;1.7448615384615387;1.8273346153846153;
2700;4441.9;4615.38;1.645148148148148;1.7094;
2800;4741.21;4943.97;1.6932892857142858;1.7657035714285716;
2900;4862.49;5067.84;1.6767206896551723;1.7475310344827586;
3000;5100.08;5318.66;1.7000266666666666;1.7728866666666667;
3100;5096.16;5286.54;1.6439225806451612;1.7053354838709678;
3200;5326.87;5528.2;1.6646468749999999;1.7275625;
3300;5520.61;5729.77;1.6729121212121212;1.7362939393939396;
3400;5656.55;5863.49;1.6636911764705884;1.7245558823529412;
3500;6017.51;6258.79;1.7192885714285715;1.7882257142857143;
3600;6256.55;6510.47;1.7379305555555555;1.8084638888888889;
3700;6035.11;6229.68;1.6311108108108108;1.6836972972972974;
3800;6449.47;6692.09;1.6972289473684212;1.7610763157894738;
3900;6632.38;6873.89;1.7006102564102565;1.7625358974358976;
4000;6711.04;6950.57;1.67776;1.7376425;
4100;6777.91;7019.64;1.653148780487805;1.7121073170731709;
4200;6846.35;7062.73;1.6300833333333333;1.6816023809523808;
4300;7315.89;7574.88;1.7013697674418606;1.7616;
4400;7468.46;7741.5;1.6973772727272727;1.7594318181818183;
4500;7504.06;7762.45;1.6675688888888889;1.724988888888889;
4600;8004.92;8298.7;1.7402;1.8040652173913045;
4700;8008.49;8297.57;1.7039340425531915;1.765440425531915;
4800;7938.59;8180.57;1.6538729166666668;1.7042854166666666;
4900;8168.76;8426.68;1.6670938775510205;1.719730612244898;
5000;8327.28;8602.63;1.665456;1.7205259999999998;
5100;8748.18;9036.95;1.715329411764706;1.771950980392157;
5200;8518.43;8784.87;1.6381596153846154;1.689398076923077;
5300;8767.99;9040.09;1.6543377358490565;1.705677358490566;
5400;8825.08;9076.02;1.634274074074074;1.6807444444444446;
5500;9475.02;9814.05;1.722730909090909;1.7843727272727272;
5600;9175.59;9452.71;1.6384982142857143;1.6879839285714284;
5700;9235.79;9501.89;1.6203140350877194;1.666998245614035;
5800;9706.26;10023.31;1.6734931034482758;1.728156896551724;
5900;9836.65;10150.86;1.667228813559322;1.720484745762712;
6000;10063.1;10393.8;1.6771833333333335;1.7323;
6100;9982.5;10287.01;1.6364754098360657;1.686395081967213;
6200;10159.17;10460.21;1.638575806451613;1.6871306451612902;
6300;10512.63;10836.45;1.6686714285714284;1.7200714285714287;
6400;10578.37;10900.31;1.6528703125000002;1.7031734374999998;
6500;10734.08;11046.86;1.651396923076923;1.6995169230769231;
6600;11342.92;11713.48;1.7186242424242424;1.7747696969696969;
6700;11121.15;11474.85;1.6598731343283581;1.7126641791044777;
6800;11311.93;11633.52;1.663519117647059;1.7108117647058825;
6900;11448.85;11779.49;1.6592536231884059;1.7071724637681158;
7000;11659.79;11993.27;1.6656842857142857;1.7133242857142859;
7100;11723.74;12065.63;1.651230985915493;1.6993845070422533;
7200;12050.11;12404.15;1.673626388888889;1.722798611111111;
7300;12023.71;12349.66;1.6470835616438355;1.6917342465753424;
7400;12497.77;12851.55;1.6888878378378378;1.736695945945946;
7500;12683.25;13051.61;1.6911;1.7402146666666667;
7600;12568.44;12934.38;1.653742105263158;1.7018921052631577;
7700;12608.41;12945.76;1.6374558441558442;1.6812675324675326;
7800;13015.53;13366.89;1.6686576923076923;1.713703846153846;
7900;13215.5;13585.85;1.6728481012658227;1.7197278481012659;
8000;13530.54;13943.17;1.6913175;1.74289625;
8100;13101.99;13445.75;1.6175296296296295;1.659969135802469;
8200;13331.14;13659.13;1.6257487804878048;1.6657475609756096;
8300;13533.5;13852.53;1.6305421686746988;1.6689795180722893;
8400;14003.19;14368.88;1.6670464285714286;1.7105809523809523;
8500;13994.57;14346.01;1.64642;1.6877658823529411;
8600;14025.73;14395.94;1.6308988372093023;1.673946511627907;
8700;14336.18;14697.38;1.6478367816091954;1.6893540229885056;
8800;14710.67;15095.93;1.6716670454545455;1.715446590909091;
8900;14976.63;15381.2;1.682767415730337;1.7282247191011237;
9000;15007.16;15398.58;1.6674622222222222;1.7109533333333333;
9100;14860.42;15232.87;1.6330131868131867;1.6739417582417584;
9200;15320.7;15715.54;1.6652934782608697;1.7082108695652174;
9300;15235.13;15599.36;1.6381860215053763;1.6773505376344087;
9400;16024.08;16444.15;1.7046893617021277;1.7493776595744683;
9500;15624.74;15992.0;1.6447094736842105;1.6833684210526316;
9600;15733.11;16107.53;1.638865625;1.6778677083333333;
9700;15904.43;16286.27;1.6396319587628867;1.678996907216495;
9800;16231.74;16623.42;1.6562999999999999;1.6962673469387752;
9900;16418.96;16827.4;1.658480808080808;1.699737373737374;
10000;16887.12;17378.96;1.688712;1.7378959999999999;

n ; porownania(c); przestawienia(s); c/n; s/n;
100;192.48;217.4;1.9247999999999998;2.174;
200;362.14;399.13;1.8107;1.99565;
300;550.52;605.22;1.8350666666666666;2.0174000000000003;
400;721.12;781.84;1.8028;1.9546000000000001;
500;874.74;940.8;1.74948;1.8816;
600;1047.47;1121.24;1.7457833333333335;1.8687333333333334;
700;1270.7;1363.49;1.8152857142857144;1.9478428571428572;
800;1389.38;1482.4;1.736725;1.8530000000000002;
900;1577.34;1677.16;1.7526;1.8635111111111111;
1000;1688.56;1780.77;1.6885599999999998;1.78077;
1100;1859.02;1963.52;1.6900181818181819;1.7850181818181818;
1200;2010.73;2117.98;1.6756083333333334;1.7649833333333333;
1300;2236.27;2363.2;1.7202076923076923;1.8178461538461537;
1400;2409.06;2543.62;1.7207571428571429;1.8168714285714285;
1500;2568.8;2703.91;1.7125333333333335;1.8026066666666665;
1600;2692.83;2830.63;1.68301875;1.76914375;
1700;2940.47;3098.59;1.7296882352941176;1.8227;
1800;3062.28;3208.41;1.7012666666666667;1.7824499999999999;
1900;3240.62;3392.48;1.7055894736842105;1.7855157894736842;
2000;3372.39;3521.88;1.6861949999999999;1.76094;
2100;3597.51;3765.06;1.7131;1.7928857142857142;
2200;3731.01;3895.88;1.6959136363636365;1.7708545454545455;
2300;3971.91;4147.82;1.7269173913043478;1.8034;
2400;3977.13;4136.05;1.6571375000000002;1.7233541666666667;
2500;4282.17;4473.47;1.712868;1.7893880000000002;
2600;4282.68;4454.02;1.6471846153846155;1.7130846153846155;
2700;4439.18;4609.84;1.644140740740741;1.7073481481481483;
2800;4722.42;4927.92;1.6865785714285715;1.7599714285714285;
2900;4847.93;5044.51;1.6717000000000002;1.7394862068965518;
3000;5057.51;5270.52;1.6858366666666667;1.7568400000000002;
3100;5219.89;5441.89;1.683835483870968;1.7554483870967743;
3200;5626.17;5864.7;1.758178125;1.83271875;
3300;5418.56;5610.03;1.641987878787879;1.7000090909090908;
3400;5775.98;6005.65;1.6988176470588234;1.7663676470588234;
3500;5907.54;6139.82;1.6878685714285715;1.7542342857142856;
3600;5939.58;6152.04;1.6498833333333334;1.7089;
3700;6058.47;6257.99;1.6374243243243245;1.6913486486486486;
3800;6441.93;6680.38;1.6952447368421053;1.7579947368421054;
3900;6598.25;6843.49;1.6918589743589743;1.7547410256410256;
4000;6672.98;6905.58;1.668245;1.726395;
4100;6920.42;7160.87;1.6879073170731707;1.7465536585365853;
4200;6962.72;7200.96;1.6577904761904763;1.7145142857142857;
4300;7213.89;7460.58;1.6776488372093024;1.7350186046511629;
4400;7504.72;7768.34;1.705618181818182;1.7655318181818183;
4500;7556.09;7814.41;1.6791311111111111;1.7365355555555555;
4600;7846.3;8118.85;1.705717391304348;1.764967391304348;
4700;7758.17;8000.99;1.6506744680851064;1.7023382978723405;
4800;8046.32;8305.17;1.6763166666666667;1.73024375;
4900;8159.6;8435.52;1.6652244897959185;1.721534693877551;
5000;8253.44;8499.93;1.6506880000000002;1.699986;
5100;8402.62;8666.63;1.647572549019608;1.6993392156862743;
5200;8496.77;8752.36;1.6339942307692308;1.6831461538461538;
5300;8854.25;9145.62;1.6706132075471698;1.7255886792452833;
5400;8891.22;9160.9;1.646522222222222;1.6964629629629628;
5500;9301.63;9600.2;1.6912054545454545;1.7454909090909092;
5600;9133.18;9407.94;1.630925;1.6799892857142857;
