7
n ; porownania(c); przestawienia(s); c/n; s/n; czas;
100;159.87;179.85;1.5987;1.7985;1521;
200;294.3;320.31;1.4715;1.60155;2595;
300;471.68;510.27;1.5722666666666667;1.7008999999999999;3953;
400;615.98;655.88;1.5399500000000002;1.6397;4770;
500;756.96;799.03;1.5139200000000002;1.59806;5595;
600;923.34;981.25;1.5389000000000002;1.6354166666666667;7222;
700;1076.69;1139.66;1.5381285714285715;1.6280857142857144;8297;
800;1196.27;1257.19;1.4953375;1.5714875000000001;8879;
900;1332.3;1392.27;1.4803333333333333;1.5469666666666666;9728;
1000;1479.02;1543.13;1.47902;1.5431300000000001;10699;
1100;1629.02;1701.05;1.4809272727272726;1.5464090909090908;12054;
1200;1799.28;1881.79;1.4994;1.5681583333333333;13180;
1300;1942.01;2023.01;1.4938538461538462;1.5561615384615384;14246;
1400;2190.2;2290.68;1.5644285714285713;1.6361999999999999;16646;
1500;2212.54;2297.61;1.4750266666666667;1.53174;16153;
1600;2309.01;2393.81;1.4431312500000002;1.49613125;16545;
1700;2376.4;2452.56;1.3978823529411766;1.4426823529411765;16804;
1800;2454.77;2520.07;1.3637611111111112;1.400038888888889;16892;
1900;2556.27;2627.25;1.3454052631578948;1.3827631578947368;18725;
2000;2683.2;2758.1;1.3416;1.3790499999999999;18688;
2100;2785.86;2853.38;1.3266;1.358752380952381;19398;
2200;2975.47;3059.35;1.3524863636363635;1.3906136363636363;20736;
2300;3124.28;3202.01;1.3583826086956523;1.3921782608695654;21220;
2400;3207.91;3292.66;1.3366291666666665;1.3719416666666666;22239;
2500;3622.17;3730.35;1.448868;1.49214;25818;
2600;3778.46;3894.51;1.4532538461538462;1.4978884615384616;27062;
2700;3983.27;4097.28;1.4752851851851851;1.517511111111111;28010;
2800;4063.92;4189.66;1.4514;1.4963071428571428;29535;
2900;4332.64;4456.72;1.4940137931034483;1.5368000000000002;30433;
3000;4398.47;4521.82;1.4661566666666668;1.5072733333333332;31183;
3100;4558.44;4698.72;1.4704645161290322;1.515716129032258;33424;
3200;4454.81;4557.22;1.3921281250000002;1.42413125;31098;
3300;4672.92;4775.16;1.4160363636363638;1.4470181818181818;32364;
3400;4709.11;4817.61;1.3850323529411763;1.4169441176470587;32675;
3500;5051.98;5184.12;1.4434228571428571;1.4811771428571427;35394;
3600;5088.59;5201.5;1.4134972222222222;1.4448611111111112;35257;
3700;5305.01;5428.06;1.4337864864864867;1.4670432432432434;37218;
3800;5366.78;5481.79;1.4123105263157893;1.4425763157894738;37539;
3900;5734.9;5874.5;1.4704871794871794;1.5062820512820514;39985;
4000;5508.62;5624.11;1.377155;1.4060275;38249;
4100;6159.99;6323.62;1.5024365853658537;1.5423463414634146;44205;
4200;5953.15;6082.81;1.4174166666666665;1.4482880952380954;42035;
4300;6194.51;6353.48;1.4405837209302326;1.4775534883720929;45310;
4400;6002.37;6122.08;1.364175;1.3913818181818183;42371;
4500;6599.17;6761.75;1.4664822222222222;1.5026111111111111;47271;
4600;6630.8;6781.94;1.4414782608695653;1.4743347826086957;46877;
4700;6691.27;6842.45;1.4236744680851066;1.4558404255319148;60845;
4800;6958.32;7133.87;1.4496499999999999;1.4862229166666667;50067;
4900;7281.75;7476.45;1.4860714285714285;1.5258061224489796;52979;
5000;7204.14;7372.49;1.440828;1.4744979999999999;51407;
5100;7439.77;7623.26;1.4587784313725491;1.494756862745098;55446;
5200;7486.48;7668.48;1.4397076923076921;1.4747076923076923;54834;
5300;7817.29;8008.62;1.4749603773584905;1.5110603773584905;56665;
5400;7762.39;7933.12;1.4374796296296297;1.4690962962962963;56096;
5500;7876.09;8049.05;1.4320163636363636;1.4634636363636364;56906;
5600;8218.8;8410.2;1.467642857142857;1.5018214285714286;60646;
5700;8131.68;8310.59;1.4266105263157896;1.457998245614035;61908;
5800;8094.24;8243.24;1.395558620689655;1.421248275862069;58224;
5900;8396.63;8573.01;1.423157627118644;1.4530525423728813;61586;
6000;8362.07;8509.35;1.3936783333333334;1.418225;60091;
6100;8699.27;8881.8;1.4261098360655737;1.4560327868852458;63811;
6200;8826.3;8998.66;1.4235967741935482;1.4513967741935483;62965;
6300;8984.39;9161.79;1.4260936507936508;1.454252380952381;66777;
6400;9037.18;9201.88;1.4120593750000001;1.43779375;66094;
6500;9045.61;9193.93;1.3916323076923078;1.4144507692307693;64702;
6600;9230.15;9387.05;1.3985075757575758;1.4222803030303028;66227;
6700;8821.6;8959.17;1.3166567164179106;1.337189552238806;62151;
6800;8857.02;8986.8;1.3025029411764706;1.3215882352941175;61262;
6900;9082.65;9223.2;1.3163260869565216;1.336695652173913;64495;
7000;9292.08;9443.2;1.32744;1.3490285714285715;66116;
7100;9402.82;9563.0;1.3243408450704226;1.3469014084507043;66064;
7200;9233.73;9344.19;1.2824624999999998;1.2978041666666666;63064;
