7
n ; porownania(c); przestawienia(s); c/n; s/n; czas;
7300;9728.37;9878.59;1.3326534246575343;1.353231506849315;68603;
7400;10655.17;10842.46;1.439887837837838;1.465197297297297;76421;
7500;10527.53;10705.56;1.4036706666666667;1.427408;77845;
7600;10642.47;10821.82;1.4003249999999998;1.4239236842105263;77539;
7700;10990.45;11195.71;1.427331168831169;1.4539883116883117;80634;
7800;11285.57;11481.81;1.4468679487179488;1.472026923076923;83081;
7900;11215.1;11417.95;1.419632911392405;1.4453101265822785;83119;
8000;11385.01;11582.19;1.42312625;1.44777375;83767;
8100;11122.98;11301.4;1.3732074074074074;1.3952345679012346;81344;
8200;11713.79;11929.49;1.4285109756097563;1.4548158536585365;87674;
8300;11566.11;11758.66;1.3935072289156627;1.4167060240963856;86485;
8400;11731.5;11928.08;1.396607142857143;1.4200095238095238;88200;
8500;11503.3;11676.12;1.353329411764706;1.3736611764705884;85547;
8600;12473.71;12701.61;1.450431395348837;1.4769313953488372;94523;
8700;12171.59;12379.87;1.3990333333333334;1.4229735632183909;89704;
8800;12404.77;12608.21;1.4096329545454547;1.4327511363636363;92859;
8900;12060.56;12231.04;1.3551191011235955;1.374274157303371;86846;
9000;13260.94;13511.84;1.4734377777777778;1.5013155555555555;102345;
9100;12902.5;13136.71;1.417857142857143;1.4435945054945054;97794;
9200;13368.04;13597.83;1.4530478260869566;1.478025;101450;
9300;13108.94;13325.74;1.4095634408602151;1.4328752688172042;99056;
9400;13653.33;13913.24;1.452481914893617;1.480131914893617;104141;
9500;13541.83;13775.79;1.4254557894736841;1.4500831578947369;101827;
9600;13629.17;13865.18;1.4197052083333332;1.4442895833333333;101991;
9700;13788.36;14031.11;1.421480412371134;1.4465061855670103;104753;
9800;13952.42;14201.54;1.4237163265306123;1.4491367346938777;105218;
9900;14071.32;14314.35;1.4213454545454545;1.4458939393939394;106297;
10000;14226.19;14462.23;1.422619;1.446223;106223;
