2
n ; porownania(c); przestawienia(s); c/n; s/n; czas;
100;329.11;405.29;3.2911;4.0529;57935;
200;935.58;1138.32;4.6779;5.691599999999999;25310;
300;1269.89;1509.94;4.232966666666667;5.033133333333334;28593;
400;2353.81;2846.14;5.884525;7.115349999999999;54110;
500;2142.09;2559.94;4.28418;5.11988;46698;
600;3720.45;4423.92;6.200749999999999;7.3732;83299;
700;3547.21;4183.48;5.067442857142857;5.976399999999999;76215;
800;5061.41;6037.41;6.3267625;7.5467625;185030;
900;3758.4;4384.45;4.176;4.871611111111111;73786;
1000;5182.11;6069.98;5.18211;6.069979999999999;102541;
1100;5335.3;6212.98;4.850272727272728;5.648163636363636;102590;
1200;7099.23;8226.14;5.916024999999999;6.8551166666666665;141175;
1300;5492.47;6251.12;4.224976923076923;4.808553846153846;88714;
1400;8901.33;10441.12;6.358092857142857;7.457942857142858;158315;
1500;7793.08;9055.36;5.195386666666667;6.036906666666667;137059;
1600;11213.64;13194.34;7.008525;8.2464625;204016;
1700;7902.48;9131.29;4.648517647058823;5.37134705882353;141778;
1800;9721.31;11248.95;5.400727777777777;6.249416666666667;234824;
1900;10491.82;12257.05;5.522010526315789;6.451078947368421;168242;
2000;13719.73;15982.26;6.859865;7.99113;226432;
2100;10480.12;12094.68;4.9905333333333335;5.759371428571429;158738;
2200;13330.82;15340.04;6.0594636363636365;6.972745454545455;189557;
2300;12590.74;14443.84;5.474234782608695;6.279930434782608;175729;
2400;17239.21;19948.26;7.183004166666667;8.311774999999999;319834;
2500;11508.58;13078.54;4.603432;5.231416;156841;
2600;14859.84;16998.99;5.715323076923077;6.5380730769230775;211194;
2700;13379.33;15205.1;4.955307407407408;5.631518518518519;188993;
2800;19662.24;22713.9;7.022228571428572;8.112107142857143;289130;
2900;15110.27;17382.38;5.210437931034483;5.993924137931034;268579;
3000;19503.8;22457.63;6.501266666666666;7.485876666666667;280282;
3100;17912.89;20647.25;5.778351612903226;6.660403225806451;258767;
3200;22696.63;26209.45;7.092696875000001;8.190453125;336239;
3300;16676.49;19131.78;5.053481818181819;5.797509090909091;310043;
3400;21873.16;25187.09;6.433282352941176;7.407967647058824;368987;
3500;19830.86;22896.21;5.66596;6.541774285714285;317408;
3600;23414.0;26863.59;6.503888888888889;7.462108333333333;378318;
3700;19477.26;22337.34;5.264124324324324;6.037118918918919;327220;
3800;25433.46;29346.88;6.693015789473684;7.7228631578947375;397334;
3900;22982.13;26413.21;5.892853846153846;6.772617948717948;375897;
4000;28474.26;32732.79;7.118564999999999;8.1831975;422988;
4100;23840.74;27269.89;5.814814634146342;6.651192682926829;352796;
4200;25764.87;29447.14;6.134492857142857;7.011223809523809;390912;
4300;22103.6;24999.27;5.140372093023255;5.813783720930233;322301;
4400;31742.41;36317.75;7.214184090909091;8.25403409090909;525181;
4500;22383.38;25276.59;4.974084444444444;5.61702;333036;
4600;31699.07;36235.6;6.891102173913043;7.877304347826087;504337;
4700;28594.95;32577.19;6.084031914893617;6.9313170212765955;465426;
4800;35745.19;40800.03;7.446914583333334;8.50000625;586403;
4900;24719.35;27978.97;5.044765306122449;5.709993877551021;415916;
5000;31776.24;36058.66;6.3552480000000005;7.2117320000000005;466224;
5100;29751.22;33869.44;5.833572549019608;6.641066666666667;442404;
5200;36773.23;41918.15;7.071775000000001;8.061182692307693;550441;
5300;29723.56;33858.57;5.608218867924529;6.388409433962264;478418;
5400;35581.67;40432.34;6.589198148148148;7.48747037037037;673594;
5500;35201.15;40243.42;6.400209090909091;7.3169854545454545;600418;
5600;45854.43;52731.05;8.188291071428571;9.416258928571429;759045;
5700;29356.0;33214.74;5.1501754385964915;5.827147368421052;478189;
5800;38048.65;43337.24;6.560112068965518;7.471937931034482;708465;
5900;32424.45;36726.95;5.495669491525424;6.2249067796610165;555405;
6000;48323.01;55560.34;8.053835000000001;9.260056666666665;789168;
6100;33688.78;38314.7;5.522750819672131;6.281098360655737;528918;
