2
n ; porownania(c); przestawienia(s); c/n; s/n; czas;
6200;50259.78;57687.65;8.106416129032258;9.304459677419356;796959;
6300;39276.93;44795.65;6.2344333333333335;7.110420634920636;633087;
6400;52727.65;60791.46;8.2386953125;9.498665625;800574;
6500;34966.65;39735.02;5.379484615384616;6.113079999999999;504093;
6600;44598.31;50936.39;6.757319696969697;7.717634848484848;669180;
6700;40165.3;45711.08;5.9948208955223885;6.822549253731344;665134;
6800;49571.4;56640.84;7.289911764705883;8.329535294117646;783397;
6900;40570.25;46382.55;5.879746376811594;6.7221086956521745;616583;
7000;52974.72;60867.35;7.567817142857143;8.695335714285713;864729;
7100;46551.12;53249.13;6.556495774647888;7.499877464788732;705946;
7200;55227.05;63220.99;7.6704236111111115;8.780693055555556;848346;
7300;38222.22;43258.74;5.235920547945206;5.925854794520547;587478;
7400;47637.03;54176.35;6.437436486486487;7.321128378378378;793462;
7500;38530.31;43302.71;5.137374666666666;5.773694666666667;594255;
7600;61265.68;70379.0;8.061273684210526;9.260394736842105;964079;
7700;41544.08;46945.9;5.3953350649350655;6.09687012987013;645229;
7800;57678.9;65785.75;7.39473076923077;8.434070512820513;981926;
7900;52559.69;60049.79;6.6531253164556965;7.601239240506329;821515;
8000;62796.31;71761.09;7.84953875;8.97013625;1040445;
8100;42739.66;48284.88;5.276501234567902;5.961096296296296;708328;
8200;56547.79;64303.68;6.896071951219512;7.841912195121951;867308;
8300;52351.66;59525.44;6.307428915662651;7.171739759036145;797133;
8400;59605.28;67505.8;7.095866666666667;8.036404761904762;989179;
8500;47697.18;53748.97;5.611432941176471;6.323408235294118;767832;
8600;59883.52;67645.07;6.9632;7.865705813953489;912478;
8700;71925.12;81913.84;8.267255172413792;9.415383908045976;1137999;
8800;72362.92;82220.9;8.223059090909091;9.34328409090909;1158793;
8900;47713.42;53641.59;5.3610584269662915;6.0271449438202245;718038;
9000;62820.94;71007.39;6.980104444444445;7.88971;1047522;
9100;65688.71;74296.69;7.218539560439561;8.16447142857143;1000917;
9200;77810.71;88629.93;8.457685869565218;9.63368804347826;1200086;
9300;52022.12;58452.1;5.593776344086022;6.2851720430107525;765990;
9400;69784.97;79055.79;7.423932978723404;8.410190425531914;1042123;
9500;60367.4;68184.64;6.354463157894737;7.17733052631579;890041;
9600;78219.36;88809.53;8.14785;9.250992708333333;1195742;
9700;53971.64;60745.05;5.564086597938144;6.2623762886597945;783040;
9800;65178.42;73376.91;6.650859183673469;7.487439795918368;974862;
9900;58973.69;66462.4;5.956938383838384;6.713373737373737;969802;
10000;81160.45;92404.1;8.116045;9.24041;1358875;
