5
n ; porownania(c); przestawienia(s); c/n; s/n; czas;
100;177.95;200.97;1.7794999999999999;2.0097;26544;
200;353.05;390.71;1.76525;1.95355;5055;
300;538.13;591.99;1.7937666666666667;1.9733;9061;
400;713.6;770.69;1.784;1.9267250000000002;10095;
500;864.81;928.86;1.72962;1.85772;7705;
600;1007.53;1080.41;1.6792166666666666;1.8006833333333334;8912;
700;1224.78;1310.46;1.7496857142857143;1.8720857142857144;11339;
800;1403.27;1497.08;1.7540875;1.8713499999999998;12462;
900;1601.92;1700.72;1.7799111111111112;1.889688888888889;14336;
1000;1767.97;1875.81;1.76797;1.87581;15661;
1100;1826.72;1925.1;1.6606545454545454;1.750090909090909;16345;
1200;2056.41;2179.75;1.7136749999999998;1.8164583333333333;18259;
1300;2221.33;2349.11;1.7087153846153846;1.8070076923076923;19868;
1400;2351.59;2469.32;1.679707142857143;1.7638;20179;
1500;2576.01;2708.63;1.71734;1.8057533333333333;22763;
1600;2785.29;2929.18;1.7408062499999999;1.8307375;25608;
1700;2823.82;2955.85;1.6610705882352943;1.738735294117647;25080;
1800;3029.53;3174.34;1.6830722222222223;1.7635222222222222;27959;
1900;3219.48;3356.59;1.694463157894737;1.7666263157894737;28550;
2000;3371.63;3526.43;1.685815;1.763215;30611;
2100;3394.16;3525.43;1.6162666666666665;1.6787761904761904;29692;
2200;3577.4;3709.69;1.626090909090909;1.6862227272727273;31315;
2300;3866.27;4035.76;1.680986956521739;1.7546782608695652;35048;
2400;3987.71;4159.53;1.6615458333333333;1.7331375;36464;
2500;4224.83;4417.52;1.689932;1.7670080000000001;38822;
2600;4354.8;4539.09;1.674923076923077;1.7458038461538463;38726;
2700;4428.78;4606.91;1.6402888888888887;1.7062629629629629;39674;
2800;4697.4;4893.15;1.677642857142857;1.7475535714285713;42180;
2900;4772.87;4951.66;1.6458172413793104;1.7074689655172413;41527;
3000;5116.39;5341.26;1.7054633333333336;1.7804200000000001;42319;
3100;5195.1;5400.18;1.6758387096774194;1.741993548387097;41706;
3200;5278.92;5471.66;1.6496625;1.70989375;42068;
3300;5546.78;5757.89;1.6808424242424242;1.7448151515151515;44880;
3400;5617.13;5812.89;1.6520970588235295;1.7096735294117649;44957;
3500;5774.27;5983.01;1.6497914285714288;1.7094314285714287;46495;
3600;6177.84;6414.92;1.7160666666666666;1.7819222222222222;55041;
3700;6006.52;6191.67;1.623383783783784;1.6734243243243243;47143;
3800;6430.24;6670.69;1.6921684210526315;1.7554447368421051;51794;
3900;6758.52;7027.84;1.7329538461538463;1.8020102564102565;55164;
4000;6677.85;6918.25;1.6694625;1.7295625;54784;
4100;6674.68;6900.37;1.627970731707317;1.6830170731707317;53863;
4200;6795.27;6995.58;1.6179214285714287;1.6656142857142857;54250;
4300;7191.85;7422.79;1.6725232558139536;1.7262302325581396;58902;
4400;7329.22;7572.54;1.6657318181818181;1.7210318181818183;58555;
4500;7480.72;7724.32;1.6623822222222222;1.7165155555555556;61337;
4600;7680.68;7949.12;1.669713043478261;1.7280695652173912;63081;
4700;7760.05;8012.08;1.6510744680851064;1.7046978723404256;63654;
