5
n ; porownania(c); przestawienia(s); c/n; s/n; czas;
4800;8001.37;8268.31;1.6669520833333333;1.7225645833333332;65209;
4900;8246.97;8531.35;1.6830551020408162;1.741091836734694;67678;
5000;8322.28;8593.99;1.6644560000000002;1.718798;67708;
5100;8307.9;8572.03;1.629;1.6807901960784315;67851;
5200;8498.97;8755.06;1.6344173076923076;1.6836653846153846;70637;
5300;8951.88;9229.53;1.6890339622641508;1.7414207547169813;73550;
5400;8886.84;9158.21;1.6457111111111111;1.6959648148148148;73383;
5500;9113.58;9397.01;1.6570145454545455;1.7085472727272728;73995;
5600;9174.25;9446.49;1.6382589285714286;1.6868732142857144;73086;
5700;9232.09;9489.14;1.6196649122807019;1.6647614035087719;74392;
5800;9648.24;9942.41;1.6634896551724137;1.7142086206896552;79222;
5900;9986.78;10294.67;1.6926745762711866;1.7448593220338984;82130;
6000;10204.2;10564.57;1.7007;1.7607616666666666;86475;
6100;9876.69;10150.32;1.6191295081967214;1.6639868852459017;79167;
6200;10116.73;10403.63;1.6317306451612903;1.6780048387096773;83909;
6300;10507.73;10832.83;1.6678936507936508;1.7194968253968255;86513;
6400;10569.37;10870.08;1.6514640625;1.69845;86948;
6500;10710.97;11035.64;1.6478415384615384;1.6977907692307692;88563;
6600;10740.45;11038.02;1.6273409090909092;1.6724272727272729;87647;
6700;10962.22;11256.44;1.6361522388059702;1.6800656716417912;89488;
6800;11273.73;11608.88;1.6579014705882353;1.7071882352941175;92451;
6900;11531.18;11880.71;1.6711855072463768;1.7218420289855072;96334;
7000;11575.86;11904.84;1.6536942857142858;1.7006914285714285;95228;
7100;11608.58;11923.6;1.6350112676056339;1.6793802816901409;95918;
7200;11773.01;12073.2;1.6351402777777777;1.6768333333333334;96395;
7300;11939.07;12245.47;1.6354890410958904;1.6774616438356162;99027;
7400;12208.74;12533.07;1.6498297297297297;1.6936581081081081;101364;
7500;12535.29;12896.38;1.671372;1.7195173333333331;103711;
7600;12505.3;12842.73;1.6454342105263158;1.689832894736842;102624;
7700;12583.64;12904.97;1.634238961038961;1.6759701298701297;103591;
7800;13442.1;13846.69;1.7233461538461539;1.7752166666666667;115526;
7900;13115.89;13456.26;1.660239240506329;1.7033240506329115;108284;
8000;13468.92;13865.7;1.683615;1.7332125;119359;
8100;13074.49;13406.31;1.6141345679012344;1.6551;108312;
8200;13389.79;13724.05;1.6329012195121952;1.6736646341463415;112114;
8300;14064.8;14465.82;1.6945542168674699;1.7428698795180722;120324;
8400;14110.05;14491.05;1.6797678571428571;1.725125;121064;
8500;13828.98;14150.47;1.6269388235294118;1.664761176470588;114393;
8600;13890.89;14214.97;1.6152197674418605;1.652903488372093;117155;
8700;14651.84;15067.73;1.684119540229885;1.731922988505747;128741;
8800;14733.3;15145.61;1.6742386363636363;1.7210920454545455;129873;
8900;14703.59;15079.49;1.6520887640449438;1.6943247191011235;123531;
9000;15080.23;15496.2;1.675581111111111;1.7218;128599;
9100;14850.74;15213.54;1.6319494505494505;1.6718175824175825;125307;
9200;15324.41;15748.13;1.6656967391304347;1.7117532608695651;133612;
9300;15136.51;15472.77;1.6275817204301075;1.6637387096774194;126333;
9400;15578.65;15956.18;1.6573031914893617;1.6974659574468085;134074;
9500;15860.88;16275.8;1.6695663157894736;1.713242105263158;136154;
9600;16500.25;16950.25;1.7187760416666666;1.7656510416666666;151148;
9700;15880.65;16280.01;1.637180412371134;1.6783515463917527;138290;
9800;16647.88;17089.5;1.6987632653061226;1.743826530612245;148047;
9900;16331.88;16710.48;1.6496848484848483;1.6879272727272727;139346;
10000;16602.75;17015.63;1.660275;1.7015630000000002;144066;
